x,y,z,Tiempo,time stamp
-0.003560435,0.07727866,-0.08667929,0.1034749,27/07/2021 02:32:23 a. m.
-0.001780782,0.0784567,-0.08553258,0.1007445,27/07/2021 02:32:23 a. m.
-0.00634129,0.07629564,-0.08555484,0.1003053,27/07/2021 02:32:23 a. m.
-0.0100853,0.0728834,-0.0873432,0.1005992,27/07/2021 02:32:23 a. m.
-0.008923251,0.07372813,-0.08732466,0.096084,27/07/2021 02:32:23 a. m.
-0.005145285,0.07713677,-0.08838609,0.1029069,27/07/2021 02:32:23 a. m.
-0.0006669872,0.08196793,-0.08989163,0.0983715,27/07/2021 02:32:23 a. m.
0.005878925,0.08859679,-0.09171562,0.1019905,27/07/2021 02:32:23 a. m.
0.008617193,0.09214536,-0.09509854,0.0984286,27/07/2021 02:32:24 a. m.
0.00641109,0.09300249,-0.09860465,0.1024372,27/07/2021 02:32:24 a. m.
0.00490208,0.09429397,-0.1025367,0.0982858,27/07/2021 02:32:24 a. m.
0.002394099,0.09364135,-0.1062451,0.0979887,27/07/2021 02:32:24 a. m.
-0.002715539,0.09076536,-0.1093977,0.1028295,27/07/2021 02:32:24 a. m.
-0.006878395,0.08835948,-0.1093144,0.0979005,27/07/2021 02:32:24 a. m.
-0.007008065,0.08636283,-0.1107915,0.1019031,27/07/2021 02:32:24 a. m.
-0.00603934,0.08695161,-0.1145496,0.099383,27/07/2021 02:32:24 a. m.
-0.00460707,0.08883952,-0.1157785,0.0979469,27/07/2021 02:32:24 a. m.
-0.007639479,0.08950155,-0.1150737,0.098937,27/07/2021 02:32:24 a. m.
-0.01304789,0.09077949,-0.1110005,0.1020383,27/07/2021 02:32:25 a. m.
-0.01427623,0.09106489,-0.1014285,0.1019955,27/07/2021 02:32:25 a. m.
-0.01319062,0.09078048,-0.09107485,0.0991885,27/07/2021 02:32:25 a. m.
-0.0150139,0.08985013,-0.08697075,0.101848,27/07/2021 02:32:25 a. m.
-0.01688995,0.08793406,-0.08543496,0.098089,27/07/2021 02:32:25 a. m.
-0.01904856,0.08653079,-0.08757518,0.0990848,27/07/2021 02:32:25 a. m.
-0.02242086,0.08477151,-0.09193349,0.1017573,27/07/2021 02:32:25 a. m.
-0.0234979,0.08436569,-0.09629795,0.0985107,27/07/2021 02:32:25 a. m.
-0.02236244,0.08545945,-0.1005329,0.1022028,27/07/2021 02:32:25 a. m.
-0.02188553,0.08443282,-0.1083769,0.0981461,27/07/2021 02:32:25 a. m.
-0.01961942,0.08433392,-0.1145681,0.0980782,27/07/2021 02:32:26 a. m.
-0.01451116,0.08766998,-0.1149431,0.1030106,27/07/2021 02:32:26 a. m.
-0.01382241,0.08904663,-0.1146297,0.0956823,27/07/2021 02:32:26 a. m.
-0.01658912,0.08762602,-0.116622,0.1042102,27/07/2021 02:32:26 a. m.
-0.01748896,0.08696351,-0.1184674,0.0987607,27/07/2021 02:32:26 a. m.
-0.01640506,0.0875904,-0.1177486,0.0982906,27/07/2021 02:32:26 a. m.
-0.01588835,0.08984106,-0.1144488,0.1020709,27/07/2021 02:32:26 a. m.
-0.008583065,0.09731662,-0.09911498,0.0988711,27/07/2021 02:32:26 a. m.
-0.002820071,0.09942672,-0.087242,0.1012628,27/07/2021 02:32:26 a. m.
-0.0003135763,0.09622038,-0.08090663,0.0977285,27/07/2021 02:32:26 a. m.
0.002954271,0.0945565,-0.07434858,0.103859,27/07/2021 02:32:27 a. m.
0.006698668,0.09136826,-0.0699764,0.0950069,27/07/2021 02:32:27 a. m.
