x,y,z,Tiempo,time stamp
-0.03039344,0.06884087,-0.1351849,0.0994167,03/10/2021 01:33:54 a. m.
-0.02982563,0.06892989,-0.133836,0.1146384,03/10/2021 01:33:54 a. m.
-0.03003463,0.07070676,-0.1319654,0.0893846,03/10/2021 01:33:54 a. m.
-0.02912495,0.07391226,-0.1315941,0.0968469,03/10/2021 01:33:54 a. m.
-0.02656297,0.0767516,-0.1313151,0.1003793,03/10/2021 01:33:55 a. m.
-0.0246798,0.08003166,-0.1284322,0.0989945,03/10/2021 01:33:55 a. m.
-0.02335757,0.08309231,-0.126892,0.0970866,03/10/2021 01:33:55 a. m.
-0.02238987,0.08444022,-0.1276559,0.1031356,03/10/2021 01:33:55 a. m.
-0.02341059,0.08592189,-0.126028,0.1004168,03/10/2021 01:33:55 a. m.
-0.02482826,0.087819,-0.123171,0.1004767,03/10/2021 01:33:55 a. m.
-0.0251685,0.08783463,-0.1209094,0.0976156,03/10/2021 01:33:55 a. m.
-0.02459599,0.0874381,-0.1182142,0.102435,03/10/2021 01:33:55 a. m.
-0.02459599,0.08679403,-0.1155871,0.0985629,03/10/2021 01:33:55 a. m.
-0.02419745,0.08704414,-0.1138712,0.1005674,03/10/2021 01:33:55 a. m.
-0.02288606,0.08712123,-0.1127542,0.1023804,03/10/2021 01:33:56 a. m.
-0.0210087,0.08787026,-0.113143,0.0962183,03/10/2021 01:33:56 a. m.
-0.01903298,0.08769367,-0.1159315,0.1015667,03/10/2021 01:33:56 a. m.
-0.01791636,0.08736969,-0.1171174,0.0988147,03/10/2021 01:33:56 a. m.
-0.01788267,0.08616968,-0.1179705,0.1014019,03/10/2021 01:33:56 a. m.
-0.01785881,0.08510902,-0.1193674,0.1009865,03/10/2021 01:33:56 a. m.
-0.01902604,0.08459953,-0.1200687,0.0978792,03/10/2021 01:33:56 a. m.
-0.02084504,0.08374516,-0.1202904,0.1011121,03/10/2021 01:33:56 a. m.
-0.02191056,0.08263469,-0.1194214,0.1016156,03/10/2021 01:33:56 a. m.
-0.02250328,0.08218674,-0.1189552,0.0982781,03/10/2021 01:33:56 a. m.
-0.02270338,0.08115939,-0.1192092,0.0989965,03/10/2021 01:33:57 a. m.
-0.02270338,0.08102273,-0.1186605,0.0985611,03/10/2021 01:33:57 a. m.
-0.02219691,0.07982845,-0.1177796,0.1020839,03/10/2021 01:33:57 a. m.
-0.02136916,0.07946948,-0.116694,0.0985101,03/10/2021 01:33:57 a. m.
-0.02048214,0.07914495,-0.116183,0.1024582,03/10/2021 01:33:57 a. m.
-0.01936192,0.07829271,-0.1151995,0.0979004,03/10/2021 01:33:57 a. m.
-0.01852528,0.07808641,-0.1146578,0.0989354,03/10/2021 01:33:57 a. m.
-0.0182933,0.0776758,-0.1147443,0.1026141,03/10/2021 01:33:57 a. m.
-0.01777135,0.07663175,-0.1143734,0.0975762,03/10/2021 01:33:57 a. m.
-0.0173074,0.07580983,-0.1145432,0.1018806,03/10/2021 01:33:57 a. m.
-0.01643749,0.07426877,-0.1148617,0.0988331,03/10/2021 01:33:58 a. m.
-0.01614752,0.07375506,-0.1149679,0.0980265,03/10/2021 01:33:58 a. m.
-0.01488234,0.07296615,-0.1151309,0.1029837,03/10/2021 01:33:58 a. m.
-0.01488234,0.0732146,-0.1162899,0.1007536,03/10/2021 01:33:58 a. m.
-0.01488234,0.07373827,-0.1186019,0.0995424,03/10/2021 01:33:58 a. m.
-0.01453182,0.07398198,-0.1222095,0.0979752,03/10/2021 01:33:58 a. m.
-0.01372694,0.07495525,-0.1256446,0.1058596,03/10/2021 01:33:58 a. m.
-0.01390348,0.07558572,-0.1267011,0.0965084,03/10/2021 01:33:58 a. m.
-0.01453182,0.07524715,-0.1267988,0.0984371,03/10/2021 01:33:58 a. m.
-0.01613975,0.07374,-0.1272337,0.1013459,03/10/2021 01:33:58 a. m.
-0.01673817,0.0718626,-0.1277754,0.1019672,03/10/2021 01:33:59 a. m.
-0.01768509,0.06922067,-0.129183,0.0988844,03/10/2021 01:33:59 a. m.
-0.01828663,0.0689727,-0.1299034,0.0979409,03/10/2021 01:33:59 a. m.
-0.01817754,0.06876803,-0.1299641,0.0986269,03/10/2021 01:33:59 a. m.
-0.01752016,0.06927163,-0.1304626,0.1042485,03/10/2021 01:33:59 a. m.
-0.01746518,0.06916962,-0.1304933,0.0963925,03/10/2021 01:33:59 a. m.
-0.01730025,0.06886364,-0.1305855,0.1022018,03/10/2021 01:33:59 a. m.
-0.0171903,0.06865964,-0.1306469,0.101511,03/10/2021 01:33:59 a. m.
-0.01565114,0.06891016,-0.1305715,0.1010346,03/10/2021 01:33:59 a. m.
-0.01471224,0.06891943,-0.1312197,0.0960885,03/10/2021 01:33:59 a. m.
-0.01476851,0.06902064,-0.1311888,0.0988095,03/10/2021 01:34:00 a. m.
-0.01465597,0.0688182,-0.1312506,0.1016403,03/10/2021 01:34:00 a. m.
-0.0141674,0.0690956,-0.1298669,0.099193,03/10/2021 01:34:00 a. m.
-0.01428081,0.06912065,-0.1292123,0.1021792,03/10/2021 01:34:00 a. m.
-0.01379714,0.06924687,-0.1272442,0.0983135,03/10/2021 01:34:00 a. m.
-0.01569848,0.06988388,-0.1219968,0.0987102,03/10/2021 01:34:00 a. m.
-0.01659684,0.07201979,-0.1171579,0.1022181,03/10/2021 01:34:00 a. m.
-0.01499919,0.07341928,-0.1162459,0.0981764,03/10/2021 01:34:00 a. m.
-0.01268845,0.07498523,-0.1153112,0.1030215,03/10/2021 01:34:00 a. m.
-0.01279538,0.07767759,-0.1135715,0.099405,03/10/2021 01:34:00 a. m.
-0.01527933,0.08024778,-0.1119024,0.0966185,03/10/2021 01:34:01 a. m.
-0.01517298,0.08098333,-0.109485,0.1039975,03/10/2021 01:34:01 a. m.
-0.01301238,0.08211971,-0.1059208,0.0963747,03/10/2021 01:34:01 a. m.
-0.01159545,0.08234339,-0.1053293,0.1025696,03/10/2021 01:34:01 a. m.
-0.009945232,0.08018429,-0.108489,0.099008,03/10/2021 01:34:01 a. m.
-0.009567235,0.07757152,-0.1124233,0.1041805,03/10/2021 01:34:01 a. m.
-0.009191405,0.07731537,-0.1142321,0.0962634,03/10/2021 01:34:01 a. m.
-0.0115761,0.07666505,-0.118523,0.0982911,03/10/2021 01:34:01 a. m.
-0.0122075,0.0758127,-0.1223492,0.1047998,03/10/2021 01:34:01 a. m.
-0.01238748,0.07345771,-0.1235786,0.0970116,03/10/2021 01:34:01 a. m.
-0.01166918,0.06932556,-0.1246681,0.1009,03/10/2021 01:34:02 a. m.
-0.01243589,0.06933898,-0.125301,0.0975555,03/10/2021 01:34:02 a. m.
-0.01314479,0.06925703,-0.1259611,0.1001529,03/10/2021 01:34:02 a. m.
-0.01320236,0.06935849,-0.1259335,0.1022452,03/10/2021 01:34:02 a. m.
-0.01255189,0.06970381,-0.1258396,0.0992774,03/10/2021 01:34:02 a. m.
-0.01208793,0.06922679,-0.1272498,0.1004391,03/10/2021 01:34:02 a. m.
-0.01108496,0.06931361,-0.128511,0.099367,03/10/2021 01:34:02 a. m.
-0.01108496,0.06948834,-0.1291047,0.1040206,03/10/2021 01:34:02 a. m.
-0.01079286,0.06898608,-0.1292517,0.0983219,03/10/2021 01:34:02 a. m.
-0.009725306,0.06881534,-0.1299501,0.0952606,03/10/2021 01:34:02 a. m.
-0.00817382,0.06931255,-0.1304503,0.1028282,03/10/2021 01:34:03 a. m.
-0.007157374,0.06889883,-0.1299253,0.1007131,03/10/2021 01:34:03 a. m.
-0.0072175,0.06899825,-0.1298958,0.0992183,03/10/2021 01:34:03 a. m.
-0.007157374,0.06889883,-0.1299253,0.0982607,03/10/2021 01:34:03 a. m.
-0.006682273,0.06938594,-0.1291347,0.1019016,03/10/2021 01:34:03 a. m.
-0.006759945,0.06977958,-0.1245484,0.0993553,03/10/2021 01:34:03 a. m.
-0.008383889,0.0732358,-0.1211681,0.0987959,03/10/2021 01:34:03 a. m.
-0.01200556,0.07872375,-0.1180392,0.1049813,03/10/2021 01:34:03 a. m.
-0.01320029,0.08383549,-0.1134465,0.0957922,03/10/2021 01:34:03 a. m.
-0.01248383,0.08614969,-0.1113037,0.1011857,03/10/2021 01:34:03 a. m.
-0.01121593,0.08676929,-0.111729,0.0993522,03/10/2021 01:34:04 a. m.
-0.009978447,0.08853836,-0.1113705,0.098275,03/10/2021 01:34:04 a. m.
-0.01047954,0.09036238,-0.1104669,0.1023715,03/10/2021 01:34:04 a. m.
-0.0110103,0.09114576,-0.1103113,0.0979526,03/10/2021 01:34:04 a. m.
-0.01032759,0.09152047,-0.1112963,0.1052819,03/10/2021 01:34:04 a. m.
-0.00863738,0.09079502,-0.1141248,0.097281,03/10/2021 01:34:04 a. m.
-0.007764328,0.08990277,-0.1159564,0.0996165,03/10/2021 01:34:04 a. m.
-0.006824117,0.08842536,-0.1157595,0.0995735,03/10/2021 01:34:04 a. m.
-0.003181417,0.085618,-0.1164192,0.100862,03/10/2021 01:34:04 a. m.
0.001545932,0.08169179,-0.1184979,0.099899,03/10/2021 01:34:04 a. m.
0.005529195,0.07771862,-0.1206569,0.0987006,03/10/2021 01:34:05 a. m.
0.009480238,0.07374362,-0.1222704,0.0977441,03/10/2021 01:34:05 a. m.
0.009886757,0.07235114,-0.1244944,0.1029801,03/10/2021 01:34:05 a. m.
0.008032829,0.07161734,-0.1272124,0.0983022,03/10/2021 01:34:05 a. m.
0.006674603,0.07174084,-0.1303581,0.1024503,03/10/2021 01:34:05 a. m.
0.00602676,0.07187738,-0.1322412,0.1007172,03/10/2021 01:34:05 a. m.
0.003024209,0.07217581,-0.1321463,0.1025012,03/10/2021 01:34:05 a. m.
-0.0001474582,0.07357576,-0.1342609,0.0951156,03/10/2021 01:34:05 a. m.
-0.0006652437,0.07280073,-0.1338749,0.098614,03/10/2021 01:34:05 a. m.
-0.0008569025,0.07270629,-0.1326188,0.1013327,03/10/2021 01:34:05 a. m.
-0.0007930212,0.07205122,-0.1309027,0.1019968,03/10/2021 01:34:06 a. m.
-0.0007291324,0.07141569,-0.129178,0.1025551,03/10/2021 01:34:06 a. m.
-0.0001474582,0.07244139,-0.1307819,0.094971,03/10/2021 01:34:06 a. m.
-0.0001474582,0.07244139,-0.1307819,0.1008992,03/10/2021 01:34:06 a. m.
-0.0001474582,0.07226016,-0.1301996,0.1031005,03/10/2021 01:34:06 a. m.
-0.0001474582,0.07226016,-0.1301996,0.0953661,03/10/2021 01:34:06 a. m.
0.000496421,0.07229852,-0.1289158,0.1028759,03/10/2021 01:34:06 a. m.
3.158674E-05,0.0743352,-0.1283111,0.099775,03/10/2021 01:34:06 a. m.
-0.004591931,0.08069972,-0.1246295,0.1003757,03/10/2021 01:34:06 a. m.
-0.008509021,0.0872957,-0.1210559,0.0984686,03/10/2021 01:34:06 a. m.
-0.008290116,0.08966326,-0.1215231,0.1010961,03/10/2021 01:34:07 a. m.
-0.009086262,0.09141418,-0.1232397,0.1000261,03/10/2021 01:34:07 a. m.
-0.009582821,0.09143164,-0.1249031,0.1066001,03/10/2021 01:34:07 a. m.
-0.009319071,0.09088997,-0.124511,0.0936762,03/10/2021 01:34:07 a. m.
-0.00922985,0.08941623,-0.1243963,0.0975253,03/10/2021 01:34:07 a. m.
-0.009662908,0.08780489,-0.125453,0.1017905,03/10/2021 01:34:07 a. m.
-0.01066458,0.08486315,-0.1281112,0.102605,03/10/2021 01:34:07 a. m.
-0.0107961,0.08286273,-0.129945,0.0960802,03/10/2021 01:34:07 a. m.
-0.01176002,0.08196094,-0.1308444,0.1007086,03/10/2021 01:34:07 a. m.
-0.01133033,0.0814612,-0.1316183,0.1015552,03/10/2021 01:34:07 a. m.
-0.01034819,0.07971267,-0.1315882,0.099405,03/10/2021 01:34:08 a. m.
-0.01016403,0.07960629,-0.1322399,0.1009019,03/10/2021 01:34:08 a. m.
-0.009550195,0.07844188,-0.1320086,0.099443,03/10/2021 01:34:08 a. m.
-0.0102349,0.07818846,-0.1320925,0.1001576,03/10/2021 01:34:08 a. m.
-0.009808149,0.07750256,-0.1323194,0.0975236,03/10/2021 01:34:08 a. m.
-0.008710798,0.07573875,-0.1329029,0.1044738,03/10/2021 01:34:08 a. m.
-0.009043429,0.07489299,-0.1331827,0.0966261,03/10/2021 01:34:08 a. m.
-0.00843801,0.07391077,-0.1335076,0.0980211,03/10/2021 01:34:08 a. m.
-0.007590402,0.07253563,-0.1339626,0.1039822,03/10/2021 01:34:08 a. m.
-0.007408779,0.07243707,-0.1346425,0.0987526,03/10/2021 01:34:08 a. m.
-0.007166605,0.07204468,-0.134774,0.1023569,03/10/2021 01:34:09 a. m.
-0.007166605,0.07204468,-0.134774,0.0988396,03/10/2021 01:34:09 a. m.
-0.00627223,0.07201586,-0.1347836,0.0957782,03/10/2021 01:34:09 a. m.
-0.005601633,0.07093937,-0.1351443,0.1049852,03/10/2021 01:34:09 a. m.
-0.005296815,0.0702514,-0.1347183,0.0962662,03/10/2021 01:34:09 a. m.
-0.005235847,0.07015339,-0.1347507,0.1035405,03/10/2021 01:34:09 a. m.
-0.004991997,0.07016232,-0.1360635,0.0997177,03/10/2021 01:34:09 a. m.
-0.005235847,0.07117007,-0.137695,0.0982322,03/10/2021 01:34:09 a. m.
-0.005113926,0.07139846,-0.1389373,0.1018044,03/10/2021 01:34:09 a. m.
-0.005235847,0.07180726,-0.139452,0.09811,03/10/2021 01:34:09 a. m.
-0.004578058,0.0721739,-0.1393181,0.0998789,03/10/2021 01:34:10 a. m.
-0.00463945,0.0720566,-0.1386997,0.0992777,03/10/2021 01:34:10 a. m.
-0.005096119,0.07395612,-0.1373627,0.1032256,03/10/2021 01:34:10 a. m.
-0.008186299,0.07781475,-0.1328403,0.0965611,03/10/2021 01:34:10 a. m.
-0.01100793,0.08378334,-0.1272708,0.0979908,03/10/2021 01:34:10 a. m.
-0.01407079,0.09006905,-0.1219649,0.1051854,03/10/2021 01:34:10 a. m.
-0.01609317,0.09444284,-0.1164538,0.0958379,03/10/2021 01:34:10 a. m.
-0.01538965,0.09599106,-0.1124295,0.1022842,03/10/2021 01:34:10 a. m.
-0.01446029,0.0965448,-0.1107688,0.0983366,03/10/2021 01:34:10 a. m.
-0.01465933,0.09694375,-0.1111947,0.1012769,03/10/2021 01:34:10 a. m.
-0.01545548,0.09780598,-0.1094925,0.0997487,03/10/2021 01:34:11 a. m.
-0.01618529,0.09878382,-0.1087941,0.1009405,03/10/2021 01:34:11 a. m.
-0.01573453,0.09922029,-0.1087074,0.1014881,03/10/2021 01:34:11 a. m.
-0.01515168,0.0993674,-0.1081812,0.0965729,03/10/2021 01:34:11 a. m.
-0.01566778,0.0993209,-0.1096843,0.1012839,03/10/2021 01:34:11 a. m.
-0.01580129,0.09972125,-0.1105983,0.0993425,03/10/2021 01:34:11 a. m.
-0.0176449,0.1011336,-0.1093096,0.0983571,03/10/2021 01:34:11 a. m.
-0.02033078,0.1041365,-0.1091692,0.1050233,03/10/2021 01:34:11 a. m.
-0.02292557,0.1072579,-0.1099192,0.0954146,03/10/2021 01:34:11 a. m.
-0.02419304,0.1085466,-0.1114995,0.1027931,03/10/2021 01:34:11 a. m.
-0.02467543,0.1083535,-0.1120155,0.0975007,03/10/2021 01:34:12 a. m.
-0.02282553,0.1066018,-0.1124414,0.101879,03/10/2021 01:34:12 a. m.
-0.01777759,0.1025318,-0.1144209,0.0989421,03/10/2021 01:34:12 a. m.
-0.0116091,0.09963407,-0.1213194,0.0985118,03/10/2021 01:34:12 a. m.
-0.01005692,0.1002982,-0.1268979,0.1028278,03/10/2021 01:34:12 a. m.
-0.009134378,0.101352,-0.1270601,0.0973058,03/10/2021 01:34:12 a. m.
-0.009134378,0.1022146,-0.1294043,0.1030183,03/10/2021 01:34:12 a. m.
-0.00952572,0.1027815,-0.1324062,0.1000064,03/10/2021 01:34:12 a. m.
-0.01132369,0.1017377,-0.1350194,0.0959407,03/10/2021 01:34:12 a. m.
-0.01322717,0.1002423,-0.1362056,0.1032657,03/10/2021 01:34:12 a. m.
-0.01500011,0.09965865,-0.1370171,0.1015106,03/10/2021 01:34:13 a. m.
-0.0159749,0.09925292,-0.1383289,0.1008753,03/10/2021 01:34:13 a. m.
-0.01608731,0.09828374,-0.1387525,0.0966692,03/10/2021 01:34:13 a. m.
-0.01720962,0.09585859,-0.1380615,0.1008027,03/10/2021 01:34:13 a. m.
-0.01930169,0.09249797,-0.1341958,0.0993725,03/10/2021 01:34:13 a. m.
-0.01987446,0.09015236,-0.1287058,0.0986591,03/10/2021 01:34:13 a. m.
-0.01987446,0.08898067,-0.125094,0.1052085,03/10/2021 01:34:13 a. m.
-0.01993416,0.08845494,-0.1229875,0.0955878,03/10/2021 01:34:13 a. m.
-0.01987446,0.08820365,-0.1224954,0.1043915,03/10/2021 01:34:13 a. m.
-0.01963567,0.08765388,-0.1220861,0.0976461,03/10/2021 01:34:13 a. m.
-0.01921779,0.08695325,-0.1222825,0.0969166,03/10/2021 01:34:14 a. m.
-0.01820294,0.08510128,-0.1222264,0.1016373,03/10/2021 01:34:14 a. m.
-0.01665641,0.08352973,-0.1215009,0.1012512,03/10/2021 01:34:14 a. m.
-0.01623293,0.08134551,-0.1214989,0.0998661,03/10/2021 01:34:14 a. m.
-0.0170224,0.07997776,-0.1218595,0.0989346,03/10/2021 01:34:14 a. m.
-0.01625739,0.0785168,-0.1216474,0.0975187,03/10/2021 01:34:14 a. m.
-0.01651815,0.07757709,-0.1218913,0.1031643,03/10/2021 01:34:14 a. m.
-0.01690144,0.07699,-0.1226473,0.0978261,03/10/2021 01:34:14 a. m.
-0.01603153,0.07562197,-0.1236185,0.1053495,03/10/2021 01:34:14 a. m.
-0.01498764,0.07427769,-0.1258345,0.0956751,03/10/2021 01:34:14 a. m.
-0.01371392,0.0738392,-0.127205,0.1042128,03/10/2021 01:34:15 a. m.
-0.01266769,0.07347862,-0.1273091,0.0977117,03/10/2021 01:34:15 a. m.
-0.01254999,0.07344822,-0.1279454,0.0963424,03/10/2021 01:34:15 a. m.
-0.01202036,0.07254619,-0.1282095,0.1020804,03/10/2021 01:34:15 a. m.
-0.01207921,0.07281984,-0.128761,0.0985523,03/10/2021 01:34:15 a. m.
-0.01248707,0.07225009,-0.1295657,0.1032183,03/10/2021 01:34:15 a. m.
-0.01307384,0.07180672,-0.1296992,0.0985322,03/10/2021 01:34:15 a. m.
-0.01330581,0.07185762,-0.1284111,0.1007176,03/10/2021 01:34:15 a. m.
-0.01395072,0.07117448,-0.1273383,0.0997743,03/10/2021 01:34:15 a. m.
-0.01400828,0.07094222,-0.1261353,0.098096,03/10/2021 01:34:15 a. m.
-0.01513142,0.06947476,-0.1246287,0.102696,03/10/2021 01:34:16 a. m.
-0.01583776,0.06908353,-0.1240957,0.0974358,03/10/2021 01:34:16 a. m.
-0.01839979,0.06922518,-0.1240589,0.0984083,03/10/2021 01:34:16 a. m.
-0.02276624,0.07077912,-0.1211511,0.1035993,03/10/2021 01:34:16 a. m.
-0.02398829,0.07147887,-0.1203607,0.097809,03/10/2021 01:34:16 a. m.
-0.02293127,0.07236881,-0.1195325,0.1023974,03/10/2021 01:34:16 a. m.
-0.02226821,0.07386351,-0.1179658,0.0983221,03/10/2021 01:34:16 a. m.
-0.02196148,0.07732705,-0.1154069,0.1019066,03/10/2021 01:34:16 a. m.
-0.02295694,0.08163816,-0.1127688,0.0978942,03/10/2021 01:34:16 a. m.
-0.02505309,0.08648653,-0.1101404,0.0989991,03/10/2021 01:34:16 a. m.
-0.0252526,0.088989,-0.1069859,0.1024067,03/10/2021 01:34:17 a. m.
-0.0232772,0.09005073,-0.103115,0.1015127,03/10/2021 01:34:17 a. m.
-0.02236283,0.0907022,-0.100937,0.100307,03/10/2021 01:34:17 a. m.
